"t","c","o","h","l","v","date","s"
"1340150400","58.21648964","53.3651155","58.21648964","54.33539033","9736","2012-06-20 00:00:00",""
"1340236800","60.15509874","58.21461168","62.0955858","59.18485521","34000","2012-06-21 00:00:00",""
"1340582400","58.21208905","60.15249202","61.1226935","58.21208905","7983","2012-06-25 00:00:00",""
"1340668800","56.27362649","58.21409636","57.24386142","55.30339155","5500","2012-06-26 00:00:00",""
"1340755200","60.15650671","56.27544176","61.12677295","57.245708","20615","2012-06-27 00:00:00",""
"1340841600","59.18798695","60.15828182","62.09887156","58.21769209","24710","2012-06-28 00:00:00",""
"1341100800","58.21730397","59.18759237","58.21730397","57.24701557","16400","2012-07-01 00:00:00",""
"1341187200","52.39557357","58.21730397","57.24701557","52.39557357","64750","2012-07-02 00:00:00",""
"1341273600","51.42625546","52.39656217","51.42625546","48.51533534","20970","2012-07-03 00:00:00",""
"1341360000","51.42625546","51.42625546","51.42625546","49.48564205","33200","2012-07-04 00:00:00",""
"1341446400","50.45429923","51.42457422","52.3948492","50.45429923","22000","2012-07-05 00:00:00",""
"1341705600","49.48557669","50.45588211","51.42618754","49.48557669","18100","2012-07-08 00:00:00",""
"1341792000","50.45549399","49.48519603","50.45549399","48.51489807","61400","2012-07-09 00:00:00",""
"1341878400","53.36677599","50.45586094","53.36677599","51.42616596","2700","2012-07-10 00:00:00",""
"1341964800","53.36677599","53.36677599","54.33708101","53.36677599","2200","2012-07-11 00:00:00",""
"1342051200","48.51573606","53.36730966","54.33762438","48.51573606","67100","2012-07-12 00:00:00",""
"1342310400","53.36730966","48.51573606","53.36730966","49.48605078","3125","2012-07-15 00:00:00",""
"1342396800","51.42473959","53.3652958","52.3950177","51.42473959","7050","2012-07-16 00:00:00",""
"1342483200","53.36345227","51.4229631","53.36345227","52.39320769","4760","2012-07-17 00:00:00",""
"1342569600","53.36345227","53.36345227","54.33369686","53.36345227","5050","2012-07-18 00:00:00",""
"1342656000","51.42102261","53.36143856","53.36143856","51.42102261","19800","2012-07-19 00:00:00",""
"1342915200","53.35959516","51.41924625","54.32976962","52.3894207","14367","2012-07-22 00:00:00",""
"1343001600","52.38845053","53.35860702","55.29892","52.38845053","23090","2012-07-23 00:00:00",""
"1343088000","53.35763686","52.38749801","53.35763686","51.41735916","8715","2012-07-24 00:00:00",""
"1343174400","52.38652787","53.35664876","53.35664876","52.38652787","4500","2012-07-25 00:00:00",""
"1366156800","53.35567864","52.38557539","53.35567864","53.35567864","25000","2013-04-17 00:00:00",""
"1366243200","55.29782534","53.35755077","55.29782534","54.32768806","20","2013-04-18 00:00:00",""
"1366502400","60.14744462","55.29684425","60.14744462","56.26696433","50","2013-04-21 00:00:00",""
"1366588800","65.96971726","60.14885986","65.96971726","61.11900276","1060","2013-04-22 00:00:00",""
"1366675200","71.78824633","65.96757771","71.78824633","66.93768914","3060","2013-04-23 00:00:00",""
"1366848000","74.6956703","71.78544938","78.57596486","72.75552302","104705","2013-04-25 00:00:00",""
"1367107200","67.90583387","74.69641726","77.60666728","67.90583387","173321","2013-04-28 00:00:00",""
